Time(s),Angle1(deg),Angle2(deg)
0.1,89.79,83.54
0.2,89.79,83.54
0.2,89.79,83.54
0.3,89.79,83.54
0.3,89.79,83.54
0.3,89.79,83.54
0.4,89.79,83.54
0.4,89.79,83.54
0.4,89.79,83.54
0.5,89.79,83.54
0.5,89.79,83.54
0.5,89.79,83.54
0.6,89.79,83.54
0.6,89.79,83.54
0.6,89.79,83.33
0.7,90.0,83.54
0.7,90.0,83.54
0.8,90.0,83.54
0.8,90.0,83.54
0.8,89.79,83.54
0.8,90.0,83.54
0.9,89.79,83.54
0.9,89.79,83.54
1.0,89.79,83.54
1.0,89.79,83.54
1.0,89.79,83.54
1.0,89.79,83.54
1.1,89.79,83.54
1.1,89.79,83.54
1.2,89.79,83.52
1.2,89.79,83.54
1.2,89.79,83.54
1.2,89.79,83.54
1.3,89.79,83.54
1.3,89.79,83.54
1.4,89.79,83.54
1.4,89.79,83.54
1.4,89.79,83.54
1.5,89.79,83.54
1.5,89.79,83.54
1.5,89.79,83.54
1.6,89.79,83.54
1.6,89.79,83.54
1.7,89.79,83.54
1.7,89.79,83.54
1.8,89.79,83.54
1.8,89.79,83.54
1.8,89.79,83.54
1.9,89.79,83.54
1.9,89.79,83.54
2.0,89.79,83.54
2.0,83.54,
2.1,83.54,
2.1,89.79,83.54
2.1,83.54,
2.2,89.79,83.54
2.3,89.79,83.54
2.3,90.0,83.54
2.3,89.79,83.54
2.4,90.0,83.54
2.4,89.79,83.54
2.5,89.79,83.54
2.5,90.0,83.54
2.6,90.0,83.54
2.6,90.0,83.54
2.6,89.79,83.54
2.7,89.79,83.54
2.8,89.79,83.54
2.8,89.79,83.54
2.8,83.54,
2.9,89.79,83.54
2.9,89.79,83.54
2.9,89.79,83.54
3.0,83.54,
3.0,89.79,83.54
3.0,89.79,83.54
3.1,89.79,83.54
3.1,89.79,83.54
3.1,89.79,83.54
3.2,89.79,83.54
3.2,89.79,83.54
3.2,83.54,
3.2,89.79,83.54
3.3,90.0,83.54
3.3,89.79,83.54
3.3,89.79,83.54
3.4,89.79,83.54
3.4,89.79,83.54
3.4,83.54,
3.5,89.79,83.54
3.5,89.79,83.54
3.5,89.79,83.54
3.6,89.79,83.54
3.6,89.79,83.54
3.6,89.79,83.54
3.7,89.79,83.54
3.7,89.79,83.54
3.7,89.79,83.54
3.8,83.54,
3.8,83.54,
3.8,89.79,83.54
3.9,89.79,83.54
3.9,90.0,83.54
3.9,89.79,83.54
3.9,89.79,83.54
4.0,90.0,83.54
4.0,89.79,83.54
4.0,83.54,
4.0,89.79,83.54
4.1,89.79,83.54
4.1,83.54,
4.2,89.79,83.54
4.2,89.79,83.54
4.2,89.79,83.54
4.2,89.79,83.54
4.2,89.79,83.54
4.3,89.79,83.54
4.3,89.79,83.54
4.3,89.79,83.54
4.4,89.79,83.54
4.4,89.79,83.54
4.4,89.79,83.54
4.5,89.79,83.54
4.5,89.79,83.54
4.5,89.79,83.54
4.6,83.54,
4.6,89.79,83.54
4.6,89.79,83.54
4.7,89.79,83.54
4.7,89.79,83.54
4.7,89.79,83.54
4.8,89.79,83.54
4.8,83.54,
4.8,89.79,83.54
4.9,89.79,83.54
4.9,89.79,83.54
4.9,89.79,83.54
5.0,89.79,83.54
5.0,89.79,83.54
5.0,89.79,83.54
5.0,89.79,83.54
5.1,89.79,83.54
5.1,89.79,83.54
5.1,89.79,83.54
5.1,89.79,83.54
5.2,89.79,83.54
5.2,89.79,83.54
5.2,89.79,83.54
5.2,89.79,83.54
5.3,89.79,83.52
5.3,89.79,83.54
5.3,89.79,83.54
5.3,89.79,83.54
5.4,89.79,83.54
5.4,89.79,83.54
5.4,89.79,83.54
5.5,89.79,83.54
5.5,89.79,83.54
5.5,89.79,83.54
5.6,89.79,83.54
5.6,89.79,83.54
5.6,89.79,83.54
5.7,89.79,83.54
5.7,89.79,83.54
5.7,89.79,83.54
5.8,89.79,83.54
5.8,89.79,83.54
5.8,89.79,83.54
5.8,89.79,83.54
5.9,89.79,83.54
5.9,89.79,83.54
5.9,89.79,83.54
5.9,89.79,83.54
6.0,89.79,83.54
6.0,89.79,83.54
6.0,89.79,83.54
6.1,89.79,83.54
6.1,89.79,83.54
6.1,89.79,83.54
6.1,89.79,83.54
6.2,89.79,83.54
6.2,89.79,83.54
6.2,89.79,83.54
6.2,89.79,83.52
6.3,87.69,83.33
6.3,84.58,81.72
6.3,81.19,79.33
6.4,78.85,77.33
6.4,78.04,76.17
6.4,78.24,76.44
6.5,78.65,76.86
6.5,79.26,77.12
6.5,79.06,77.33
6.6,79.06,77.38
6.6,79.06,77.38
6.6,79.06,77.38
6.7,79.06,77.38
6.7,79.06,77.38
6.7,79.06,77.38
6.8,79.26,77.33
6.8,79.26,77.17
6.8,79.06,77.17
6.9,78.85,77.17
6.9,78.65,76.91
6.9,78.61,76.7
6.9,78.4,76.49
7.0,78.2,76.49
7.0,77.95,76.49
7.0,78.2,76.49
7.1,78.2,76.49
7.1,78.2,76.49
7.1,78.2,76.49
7.1,77.99,76.49
7.2,77.58,76.44
7.2,77.33,76.07
7.2,77.18,76.02
7.3,77.13,76.02
7.3,77.13,76.02
7.3,77.13,76.02
7.3,77.13,75.81
7.4,76.93,75.81
7.4,77.08,75.65
7.4,76.88,75.6
7.4,76.68,75.6
7.5,76.52,75.54
7.5,76.68,75.6
7.5,76.52,75.54
7.5,76.52,75.33
7.6,76.32,75.33
7.6,76.27,75.39
7.6,76.27,75.39
7.7,75.86,75.33
7.7,76.07,75.12
7.7,75.81,75.12
7.7,75.81,75.33
7.8,75.81,75.33
7.8,75.61,75.33
7.8,75.61,75.12
7.8,75.66,75.07
7.9,75.66,74.86
7.9,75.66,74.86
7.9,75.46,74.86
7.9,75.26,74.86
8.0,75.26,74.86
8.0,75.46,74.65
8.0,75.2,74.65
8.0,75.0,74.65
8.1,75.2,74.44
8.1,74.8,74.65
8.1,75.0,74.44
8.1,74.74,74.44
8.2,74.74,74.44
8.2,74.74,74.44
8.2,74.74,74.65
8.3,74.34,74.23
8.3,74.54,74.23
8.3,74.34,74.23
8.3,74.29,74.23
8.4,74.29,74.23
8.4,74.34,74.17
8.4,74.49,74.02
8.4,74.34,73.97
8.5,73.94,74.17
8.5,73.88,73.97
8.5,73.88,74.17
8.5,73.94,74.17
8.6,73.88,73.97
8.6,73.88,74.17
8.6,73.88,73.97
8.6,73.88,74.17
8.7,73.94,74.17
8.7,73.94,73.97
8.7,73.94,74.17
8.7,73.94,74.17
8.8,73.88,74.17
8.8,73.94,73.97
8.8,73.94,74.17
8.9,73.94,74.17
8.9,73.94,74.17
8.9,73.94,74.17
8.9,73.94,73.97
9.0,74.08,73.97
9.0,73.48,73.76
9.0,73.28,73.7
9.0,73.22,73.34
9.1,73.02,73.49
9.1,73.28,73.28
9.1,72.82,73.49
9.1,73.02,73.28
9.2,73.02,73.28
9.2,72.82,73.49
9.2,72.82,73.49
9.2,72.82,73.49
9.3,73.02,73.28
9.3,73.02,73.28
9.3,73.02,73.28
9.4,72.82,73.49
9.4,72.82,73.49
9.4,72.82,73.49
9.4,72.82,73.49
9.4,72.82,73.49
9.5,72.82,73.49
9.5,72.82,73.49
9.5,72.82,73.49
9.6,72.82,73.49
9.6,72.82,73.49
9.6,73.02,73.28
9.6,72.82,73.49
9.7,73.02,73.28
9.7,72.3,73.07
9.7,71.96,73.01
9.8,72.16,72.8
9.8,72.03,72.74
9.8,72.22,72.74
9.8,72.03,72.74
9.9,71.96,72.74
9.9,72.16,72.8
9.9,72.03,72.95
9.9,72.22,72.74
10.0,72.22,72.74
10.0,71.96,72.74
10.0,71.83,72.95
10.0,72.03,72.95
10.1,72.03,72.74
10.1,72.22,72.74
10.1,72.03,72.74
10.1,71.96,72.8
10.2,72.03,72.74
10.2,72.22,72.74
10.2,72.16,72.8
10.2,71.96,73.01
10.3,71.83,72.95
10.3,71.7,72.8
10.3,71.5,72.53
10.3,71.3,72.53
10.4,71.3,72.53
10.4,71.3,72.53
10.4,71.3,72.53
10.5,71.3,72.53
10.5,71.3,72.53
10.5,71.3,72.53
10.5,71.3,72.53
10.6,71.3,72.53
10.6,71.5,72.32
10.6,71.3,72.53
10.6,71.5,72.32
10.7,71.5,72.32
10.7,71.5,72.32
10.7,71.5,72.32
10.7,71.5,72.32
10.8,71.43,72.32
